"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6001 32nd Ave N"
"Comments:","Basset Creek Park"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/2/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/06/2025 10:00 - 10:59,4,3,3,6,4,0,0,0,0,0,0,0,0,0,0,20,23.6,31.6
09/06/2025 11:00 - 11:59,3,2,4,8,7,1,0,0,0,0,0,0,0,0,0,25,26.5,33.7
09/06/2025 12:00 - 12:59,1,1,2,4,8,3,0,0,0,0,0,0,0,0,0,19,30.1,35.4
09/06/2025 13:00 - 13:59,1,1,5,7,13,2,0,0,0,0,0,0,0,0,0,29,29.5,34.9
09/06/2025 14:00 - 14:59,0,3,4,5,3,3,1,0,0,0,0,0,0,0,0,19,28.9,37.1
09/06/2025 15:00 - 15:59,1,3,6,7,10,2,0,1,0,0,0,0,0,0,0,30,28.8,35.0
09/06/2025 16:00 - 16:59,1,1,4,5,6,1,1,0,0,0,0,0,0,0,0,19,28.7,34.9
09/06/2025 17:00 - 17:59,2,2,3,6,2,1,0,0,0,0,0,0,0,0,0,16,25.3,31.3
09/06/2025 18:00 - 18:59,2,1,3,8,6,4,0,0,0,0,0,0,0,0,0,24,28.8,35.9
09/06/2025 19:00 - 19:59,1,3,3,6,3,0,1,0,0,0,0,0,0,0,0,17,26.4,32.6
09/06/2025 20:00 - 20:59,0,1,5,5,2,1,0,0,0,0,0,0,0,0,0,14,27.3,32.0
09/06/2025 21:00 - 21:59,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,29.4,33.9
09/06/2025 22:00 - 22:59,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,8,26.5,33.9
09/06/2025 23:00 - 23:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,30.0,31.3
09/07/2025 00:00 - 00:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
09/07/2025 01:00 - 01:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
09/07/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/07/2025 03:00 - 03:59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,43.0,42.8
09/07/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/07/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/07/2025 06:00 - 06:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/07/2025 07:00 - 07:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,30.0,31.3
09/07/2025 08:00 - 08:59,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,6,25.3,32.5
09/07/2025 09:00 - 09:59,2,0,2,6,6,3,0,0,0,0,0,0,0,0,0,19,29.2,35.4
09/07/2025 10:00 - 10:59,0,3,4,6,8,0,0,0,0,0,0,0,0,0,0,21,28.0,33.7
09/07/2025 11:00 - 11:59,3,1,3,9,1,0,0,0,0,0,0,0,0,0,0,17,24.0,29.9
09/07/2025 12:00 - 12:59,2,1,2,7,3,0,1,0,0,0,0,0,0,0,0,16,26.8,32.8
09/07/2025 13:00 - 13:59,1,0,6,8,6,1,1,0,0,0,0,0,0,0,0,23,28.7,34.4
09/07/2025 14:00 - 14:59,3,3,9,3,8,4,0,1,0,0,0,0,0,0,0,31,27.5,35.8
09/07/2025 15:00 - 15:59,6,0,2,9,9,1,1,0,0,0,0,0,0,0,0,28,26.7,34.5
09/07/2025 16:00 - 16:59,6,3,4,5,10,4,0,0,0,0,0,0,0,0,0,32,26.3,35.3
09/07/2025 17:00 - 17:59,0,1,7,9,12,3,0,0,0,0,0,0,0,0,0,32,29.8,35.0
09/07/2025 18:00 - 18:59,1,2,4,5,7,1,0,0,0,0,0,0,0,0,0,20,27.8,34.2
09/07/2025 19:00 - 19:59,2,3,3,6,1,1,0,0,0,0,0,0,0,0,0,16,24.3,30.3
09/07/2025 20:00 - 20:59,0,3,2,4,2,1,0,0,0,0,0,0,0,0,0,12,26.8,32.8
09/07/2025 21:00 - 21:59,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,7,25.6,33.3
09/07/2025 22:00 - 22:59,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,7,25.0,32.1
09/07/2025 23:00 - 23:59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38.0,37.8
09/08/2025 00:00 - 00:59,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,26.3,31.3
09/08/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
